function_name,start_time,end_time,duration
capture_image,1733017270.7728043,1733017270.9173672,0.1445629596710205
gpt_image_request,1733017270.9313488,1733017274.1289542,3.1976053714752197
text_to_speech,1733017274.13069,1733017280.0262704,5.895580291748047
play_audio,1733017280.1033251,1733017283.8071373,3.7038121223449707
capture_image,1733017285.078981,1733017285.1187496,0.03976869583129883
gpt_image_request,1733017285.1196258,1733017287.926252,2.806626081466675
text_to_speech,1733017287.9285216,1733017294.0148828,6.0863611698150635
play_audio,1733017294.0158093,1733017295.830785,1.8149757385253906
capture_image,1733017297.3586469,1733017297.3828619,0.024214982986450195
gpt_image_request,1733017297.3838096,1733017300.4488487,3.0650391578674316
text_to_speech,1733017300.4506078,1733017303.7356374,3.285029649734497
play_audio,1733017303.8231869,1733017307.5443473,3.721160411834717
